clock,xxx,src,dest
40.0,Animation,TPE,DEN
40.0,Animation,FCO,SFO
45.0,Animation,AMS,EWR
45.0,Animation,ATL,BOS
45.0,Animation,BOM,MCO
45.0,Animation,CDG,SEA
45.0,Animation,CLT,JFK
45.0,Animation,CTU,CGK
45.0,Animation,DEL,SZX
45.0,Animation,DEN,CGK
45.0,Animation,DTW,DEL
45.0,Animation,EWR,ORD
45.0,Animation,JFK,MEL
45.0,Animation,KUL,GRU
45.0,Animation,LAS,TPE
45.0,Animation,LAX,TPE
45.0,Animation,MSP,PHX
45.0,Animation,MUC,MCO
45.0,Animation,NRT,DTW
45.0,Animation,ORD,AYT
45.0,Animation,YYZ,MAD
45.0,Animation,ZRH,FCO
45.0,Animation,AMS,BOM
45.0,Animation,ATL,BOS
45.0,Animation,AYT,AMS
45.0,Animation,BOM,AYT
45.0,Animation,BOS,CAN
45.0,Animation,CAN,BOS
45.0,Animation,CDG,BOM
45.0,Animation,CGK,BOS
45.0,Animation,CLT,MIA
45.0,Animation,CTU,KUL
45.0,Animation,DEL,CDG
45.0,Animation,DEN,PVG
45.0,Animation,DFW,AMS
45.0,Animation,DTW,SHA
45.0,Animation,DXB,CLT
45.0,Animation,EWR,DEL
45.0,Animation,FRA,SHA
45.0,Animation,GRU,SFO
45.0,Animation,HKG,SEA
45.0,Animation,IAH,SYD
45.0,Animation,IST,SZX
45.0,Animation,JFK,SIN
45.0,Animation,KUL,SHA
45.0,Animation,LAS,AYT
45.0,Animation,LAX,YYZ
45.0,Animation,LHR,TPE
45.0,Animation,MAD,SZX
45.0,Animation,MCO,AMS
45.0,Animation,MEL,ATL
45.0,Animation,MEX,YYZ
45.0,Animation,MIA,ZRH
45.0,Animation,MSP,JFK
45.0,Animation,PHL,LAX
45.0,Animation,PHX,LAS
45.0,Animation,PVG,MCO
45.0,Animation,SEA,MEL
45.0,Animation,SFO,LAX
45.0,Animation,SHA,LHR
45.0,Animation,SIN,MEX
45.0,Animation,SYD,MIA
45.0,Animation,SZX,MCO
45.0,Animation,TPE,MEL
45.0,Animation,YYZ,DEN
45.0,Animation,ZRH,DTW
45.0,Animation,AYT,CDG
45.0,Animation,BOS,DEN
45.0,Animation,CAN,SEA
45.0,Animation,DFW,EWR
45.0,Animation,DXB,FCO
45.0,Animation,FCO,DTW
45.0,Animation,FRA,BOS
45.0,Animation,GRU,MCO
45.0,Animation,HKG,IAH
45.0,Animation,IAH,MUC
45.0,Animation,IST,LAS
45.0,Animation,LHR,FRA
45.0,Animation,MAD,DEL
45.0,Animation,MCO,JFK
45.0,Animation,MEL,EWR
45.0,Animation,MEX,ORY
45.0,Animation,MIA,MEL
45.0,Animation,MUC,SHA
45.0,Animation,NRT,FCO
45.0,Animation,ORD,CGK
45.0,Animation,ORY,HKG
45.0,Animation,PEK,DFW
45.0,Animation,PHL,ORY
45.0,Animation,PHX,LHR
45.0,Animation,PVG,PHX
45.0,Animation,SEA,MSP
45.0,Animation,SFO,CAN
45.0,Animation,SHA,YYZ
45.0,Animation,SIN,CLT
45.0,Animation,SYD,ATL
45.0,Animation,SZX,LAX
45.0,Animation,TPE,GRU
45.0,Animation,CGK,ZRH
45.0,Animation,FCO,IAH
45.0,Animation,ORY,LHR
45.0,Animation,PEK,KUL
50.0,Animation,AMS,SEA
50.0,Animation,ATL,NRT
50.0,Animation,BOM,ZRH
50.0,Animation,DTW,CDG
50.0,Animation,EWR,CTU
50.0,Animation,JFK,TPE
50.0,Animation,KUL,PVG
50.0,Animation,LAS,PVG
50.0,Animation,LAX,SYD
50.0,Animation,MSP,AMS
50.0,Animation,YYZ,JFK
50.0,Animation,ZRH,DTW
50.0,Animation,AMS,DEN
50.0,Animation,ATL,CDG
50.0,Animation,AYT,HKG
50.0,Animation,BOM,DXB
50.0,Animation,BOS,SZX
50.0,Animation,CAN,JFK
50.0,Animation,CDG,BOS
50.0,Animation,CLT,BOM
50.0,Animation,CTU,DTW
50.0,Animation,DEL,PHL
50.0,Animation,DEN,SHA
50.0,Animation,DFW,SZX
50.0,Animation,DTW,DXB
50.0,Animation,DXB,KUL
50.0,Animation,EWR,IAH
50.0,Animation,FRA,EWR
50.0,Animation,GRU,MCO
50.0,Animation,HKG,KUL
50.0,Animation,IAH,CAN
50.0,Animation,IST,AYT
50.0,Animation,JFK,DTW
50.0,Animation,KUL,DEL
50.0,Animation,MCO,LAS
50.0,Animation,MEL,JFK
50.0,Animation,MEX,MSP
50.0,Animation,MIA,MEL
50.0,Animation,MSP,SEA
50.0,Animation,MUC,ORY
50.0,Animation,NRT,ZRH
50.0,Animation,ORD,SIN
50.0,Animation,PHL,NRT
50.0,Animation,PHX,MIA
50.0,Animation,PVG,DEN
50.0,Animation,SEA,CLT
50.0,Animation,SFO,GRU
50.0,Animation,SHA,FCO
50.0,Animation,SIN,SYD
50.0,Animation,SYD,SHA
50.0,Animation,AYT,TPE
50.0,Animation,BOS,DFW
50.0,Animation,CAN,IST
50.0,Animation,CDG,PVG
50.0,Animation,CGK,AMS
50.0,Animation,CLT,AMS
50.0,Animation,CTU,SHA
50.0,Animation,DEL,MIA
50.0,Animation,DEN,CGK
50.0,Animation,DFW,IST
50.0,Animation,DXB,LAX
50.0,Animation,FCO,AMS
50.0,Animation,FRA,DFW
50.0,Animation,GRU,MCO
50.0,Animation,HKG,PVG
50.0,Animation,IAH,SHA
50.0,Animation,IST,BOM
50.0,Animation,LAS,DEN
50.0,Animation,LAX,SZX
50.0,Animation,LHR,DTW
50.0,Animation,MAD,LAS
50.0,Animation,MCO,MAD
50.0,Animation,MEL,PEK
50.0,Animation,MEX,CDG
50.0,Animation,MIA,FCO
50.0,Animation,MUC,FCO
50.0,Animation,NRT,ORD
50.0,Animation,ORD,SZX
50.0,Animation,ORY,TPE
50.0,Animation,PEK,CTU
50.0,Animation,PHL,MCO
50.0,Animation,PHX,PHL
50.0,Animation,PVG,SEA
50.0,Animation,SEA,AMS
50.0,Animation,SFO,HKG
50.0,Animation,SHA,MIA
50.0,Animation,SIN,MSP
50.0,Animation,SYD,SIN
50.0,Animation,SZX,DFW
50.0,Animation,TPE,JFK
50.0,Animation,YYZ,PEK
50.0,Animation,ZRH,TPE
50.0,Animation,CGK,NRT
50.0,Animation,LHR,LAS
50.0,Animation,MAD,FRA
50.0,Animation,SZX,DXB
50.0,Animation,TPE,CGK
50.0,Animation,FCO,IST
50.0,Animation,ORY,ATL
50.0,Animation,PEK,SHA
55.0,Animation,BOM,CTU
55.0,Animation,DTW,DEL
55.0,Animation,EWR,NRT
